Data,Categoria,Descrição,Valor
2025-02-01,Saúde,Consulta,216.32
2025-02-08,Saúde,Exame,47.14
2025-02-27,Lazer,Show,373.51
2025-02-10,Alimentação,Supermercado,104.21
2025-02-04,Alimentação,Padaria,332.73
2025-02-04,Lazer,Cinema,180.79
2025-02-27,Educação,Cursos,350.93
2025-02-05,Transporte,Uber,390.51
2025-02-07,Lazer,Show,451.19
2025-02-13,Outros,Taxas,295.21
2025-02-18,Outros,Taxas,489.9
2025-02-17,Educação,Cursos,30.27
2025-02-18,Lazer,Cinema,31.7
2025-02-15,Transporte,Combustível,426.05
2025-02-13,Outros,Doações,147.33
2025-02-10,Outros,Doações,409.43
2025-02-03,Outros,Taxas,376.84
2025-02-17,Outros,Presentes,232.85
2025-02-19,Moradia,Aluguel,452.08
2025-02-07,Transporte,Ônibus,484.6
2025-02-21,Saúde,Farmácia,240.33
2025-02-11,Moradia,Luz,28.59
2025-02-09,Moradia,Luz,385.34
2025-02-12,Alimentação,Padaria,437.43
2025-02-10,Lazer,Assinatura,209.14
2025-02-23,Educação,Livros,458.34
2025-02-07,Saúde,Exame,130.1
2025-02-25,Transporte,Combustível,131.36
2025-02-05,Outros,Presentes,92.12
2025-02-20,Moradia,Aluguel,65.34
2025-02-04,Transporte,Combustível,29.77
2025-02-03,Educação,Faculdade,237.28
2025-02-07,Alimentação,Supermercado,188.94
2025-02-14,Saúde,Exame,329.77
2025-02-20,Transporte,Uber,401.23
2025-02-02,Moradia,Aluguel,268.55
2025-02-23,Moradia,Aluguel,108.16
2025-02-19,Transporte,Combustível,238.1
2025-02-14,Moradia,Condomínio,124.07
2025-02-24,Transporte,Combustível,334.27
2025-02-10,Outros,Taxas,477.6
2025-02-06,Alimentação,Supermercado,23.99
2025-02-14,Outros,Taxas,73.61
2025-02-12,Moradia,Aluguel,140.78
2025-02-23,Outros,Doações,279.5
2025-02-25,Lazer,Cinema,130.88
2025-02-23,Alimentação,Supermercado,272.42
2025-02-24,Saúde,Farmácia,107.35
2025-02-13,Alimentação,Padaria,383.81
2025-02-07,Saúde,Farmácia,162.56
2025-02-24,Moradia,Luz,374.34
2025-02-07,Lazer,Assinatura,412.4
2025-02-22,Lazer,Cinema,127.6
2025-02-21,Educação,Livros,478.49
2025-02-22,Saúde,Farmácia,377.27
2025-02-25,Outros,Taxas,481.89
2025-02-23,Transporte,Uber,25.32
2025-02-22,Saúde,Farmácia,414.09
2025-02-17,Moradia,Condomínio,61.64
2025-02-21,Moradia,Condomínio,108.41
